"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60504,"Lakasjön",7091636.00,634568.00,3805999.00,8,5,23,1,12,"Lakasjön_3805999_23","Åsele",23
60505,"Lakatjärnarna",7124627.00,635624.00,3806016.00,8,5,23,1,12,"Lakatjärnarna_3806016_23","Åsele",23
60506,"Lanaträsket",7118634.00,651087.00,3806814.00,8,5,8,1,12,"Lanaträsket_3806814_8","Fredrika",8
60507,"Landsvägamyran",7135882.00,627628.00,3807300.00,4,5,23,1,12,"Landsvägamyran_3807300_23","Åsele",23
60508,"Landsvägsmyran",7144553.00,640916.00,3807329.00,4,5,23,1,12,"Landsvägsmyran_3807329_23","Åsele",23
60509,"Lapparberget",7112150.00,633691.00,3807954.00,5,5,23,1,12,"Lapparberget_3807954_23","Åsele",23
60510,"Lappgravholmen",7098068.00,643088.00,3808111.00,5,5,23,1,12,"Lappgravholmen_3808111_23","Åsele",23
60511,"Lappgrundmyran",7115233.00,642987.00,3808116.00,4,5,8,1,12,"Lappgrundmyran_3808116_8","Fredrika",8
60512,"Lappgrundåsen",7115899.00,642874.00,3808118.00,5,5,8,1,12,"Lappgrundåsen_3808118_8","Fredrika",8
60513,"Lapp-Hinriksmyran",7132107.00,598023.00,3808162.00,4,5,23,1,12,"Lapp-Hinriksmyran_3808162_23","Åsele",23
60514,"Lappholmen",7135261.00,657598.00,3808191.00,5,5,8,1,12,"Lappholmen_3808191_8","Fredrika",8
60515,"Lapphällan",7150977.00,624794.00,3808234.00,5,5,23,1,12,"Lapphällan_3808234_23","Åsele",23
60516,"Lapphällmyran",7150827.00,624292.00,3808253.00,4,5,23,1,12,"Lapphällmyran_3808253_23","Åsele",23
60517,"Lappmyran",7093092.00,622141.00,3808686.00,4,5,23,1,12,"Lappmyran_3808686_23","Åsele",23
60518,"Lappmyran",7125741.00,639423.00,3808687.00,4,5,23,1,12,"Lappmyran_3808687_23","Åsele",23
60519,"Lappmyran",7148856.00,627252.00,3808688.00,4,5,23,1,12,"Lappmyran_3808688_23","Åsele",23
60520,"Lappmyran",7116556.00,642681.00,3808689.00,4,5,8,1,12,"Lappmyran_3808689_8","Fredrika",8
60521,"Lappmyrkullen",7092512.00,621971.00,3808747.00,5,5,23,1,12,"Lappmyrkullen_3808747_23","Åsele",23
60522,"Lappmyrtjärnen",7125891.00,644002.00,3808754.00,8,5,8,1,12,"Lappmyrtjärnen_3808754_8","Fredrika",8
60523,"Lappudden",7088589.00,623093.00,3809152.00,5,5,23,1,12,"Lappudden_3809152_23","Åsele",23
